Customer,Customer Name,Total Outstanding
41029657,M/s RAJAWAT FARMS HP CENTRE,"74,47,456.14"
41049782,M/s LAXMI MOTOR CO. JAIPUR,"73,93,792.46"
41029834,M/s GANPATI FUEL STATION,"66,66,791.15"
41071277,BAINADA HP,"66,29,687.68"
41041888,M/s TIRUPATI FUEL CENTRE,"65,23,020.69"
41023777,M/s NAVAN FILLING STATION,"63,74,877.14"
41049711,RAJ AND SONS,"63,23,799.29"
41074581,MSHSD BHOOMIKA FILLING STATION,"55,41,454.55"
41049725,M/s PAREEK AUTO SERVICE,"54,32,853.57"
41041902,MSHSD SHIV SHAKTI FILLING STATION,"54,32,767.82"
41041649,"M/s KRISHNA FILLING STATION, GOPALP","51,79,937.93"
41016476,M/s JEPH PETROLEUM,"49,29,986.81"
41049797,MS/HSD HIGHWAY SERVICE STATION,"49,18,136.56"
41018087,M/s MOOND FILLING STATION,"48,60,936.76"
41018359,M/s SAACHI HP,"46,68,870.12"
41029762,M/S KIRTISHESH RAMAWATAR FILLING ST,"45,85,607.89"
41049788,M/s GL SETIA FILLING STATION,"45,30,985.56"
41002804,"M/s SHREE BHAWANI FILLING STN, JASR","45,08,779.21"
41034204,M/s SARAN FILLING STATION,"45,04,567.65"
41021102,M/s BAINADA SERVICE STATION,"44,71,264.79"
41029924,MSHSD DHUKIA FILLING STATION,"44,30,892.80"
41029785,MSHSD BHAGWATI FILLING STATION,"42,37,593.83"
41018920,M/s PANCHOLI FILLING STATION,"42,06,285.44"
41002973,"M/s SHIVA FILLING STATION, SANDWA","41,67,214.52"
41029926,M/s KISHAN PETROL PUMP,"40,94,440.99"
41070139,"M/s HSA BHADU & COMPANY, JHANDAWALI","40,76,944.46"
41041911,JAI SATI MAA FILLING STATION,"40,10,549.11"
41029825,SANKALP HP CENTER RAMCHANDRAPURA,"39,59,282.62"
41049584,M/s CHAND FILLING STATION,"39,02,330.66"
41029677,M/s SARPANCH FILLING STATION,"38,95,980.91"
41018395,M/s H.P. FUEL STATION,"38,41,957.87"
41018050,GURU KRIPA FILLING STATION,"38,18,362.25"
41029687,M/s ANAND FILLING STATION,"37,95,554.05"
41029938,M/s DHUNDHADA FUELS,"37,79,363.46"
41041901,MSHSD GARUDA FILLING STATION,"37,45,609.39"
41032027,"M/s ABHISHEK FILLING STATION, GHARS","37,41,881.56"
41029759,M/s ANANDILAL FILLING STATION,"37,12,824.80"
41018062,SHRI KHATU SHYAM FILLING STATION,"36,48,298.38"
41041905,SHRI KHATUSHYAM PETROLEUM,"36,19,245.11"
41029780,M/S MAHADEV FILLING STATION BHASEEN,"35,64,927.34"
41041889,SHRIRAM FILLING STATION,"35,12,996.63"
41030502,M/s SOLDIER FILLING STATION,"34,10,529.74"
41043739,GHANSHYAM DAS MURLI DHAR,"33,93,397.03"
41017770,M/s TIRUPATI BALAJI FILLING STATION,"33,73,612.20"
41049792,M/s MATHURADAS SUKHLAL RATHI,"33,27,321.01"
41041923,M/s SHRIRAM FILLING STATION,"33,24,035.09"
41018113,HAMARA PUMP - GADA KHERA,"33,10,413.66"
41049805,M/s BABU LAL MAHESHWARI & CO,"33,10,247.43"
41041903,M/s RIDDHI SIDDHI FILLING STATION,"32,89,823.48"
41048537,M/s TONK ROAD SERVICE STATION,"32,23,033.15"
41017778,M/s SHREE GOVIND FILLING STATION,"32,16,465.29"
41018640,RAJAN FILLING CENTRE,"31,84,154.13"
41030021,"M/s SHREE GANESH FILLING STATION,MA","31,45,452.78"
41021101,M/s RADHA KRISHAN SERVICE STATION,"30,67,084.91"
41029636,M/s KANINWAL FILLING STATION,"29,64,822.86"
